Years,Term,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2014,Fall,ECE,313,1,2,3,6,5,3,2,3,0,0,0,0,0,0,"Iyer, Ravishankar K"
2014,Fall,ECE,313,1,11,5,12,6,5,4,7,1,1,1,0,3,2,"Hajek, Bruce"
2014,Fall,ECE,316,0,25,11,7,6,1,1,0,0,0,0,0,0,0,"Hillmer, Philip M"
2014,Fall,ECE,329,6,13,7,7,14,5,4,5,1,0,2,0,4,1,"Wasserman, Daniel M"
2014,Fall,ECE,329,1,5,1,4,1,3,2,3,5,0,1,0,1,1,"Cangellaris, Andreas C"
2014,Fall,ECE,329,2,4,7,5,9,3,4,4,4,0,3,0,3,0,"Dragic, Peter D"
2014,Fall,ECE,329,0,4,6,7,5,3,0,3,1,0,1,0,2,0,"Gong, Songbin"
2014,Fall,ECE,330,0,9,4,0,22,3,1,18,0,0,8,4,0,0,"Haran, Kiruba S"
2014,Fall,ECE,340,1,2,2,4,6,1,3,0,1,0,3,0,1,1,"Bayram, Can"
2014,Fall,ECE,340,2,3,5,2,11,8,0,6,0,0,2,1,3,0,"Kim, Kyekyoon"
2014,Fall,ECE,340,2,4,2,5,9,1,3,7,2,0,3,0,5,0,"Gilbert, Matthew"
2014,Fall,ECE,340,5,7,2,2,8,1,3,6,2,0,4,0,2,0,"Feng, Milton"
2014,Fall,ECE,342,3,4,4,2,5,3,4,13,3,0,4,0,1,0,"Trick, Timothy N"
2014,Fall,ECE,343,0,32,9,1,3,0,0,0,0,0,0,0,0,0,"Radhakrishnan, Chandrasek"
2014,Fall,ECE,444,2,5,4,0,11,0,0,3,0,0,1,0,0,0,"Lyding, Joseph W"
2014,Fall,ECON,102,357,678,186,207,169,37,44,38,10,10,13,2,13,8,"Vazquez, Jose J"
2014,Fall,ECON,103,9,51,57,112,92,47,18,14,12,5,3,6,8,1,"Baer, Werner"
2014,Fall,ECON,202,13,182,0,59,198,0,16,120,0,13,65,0,5,3,"Schultz, Colleen"
2014,Fall,ECON,203,37,52,51,60,95,51,44,55,29,29,23,12,40,5,"Petry, Joseph A"
2014,Fall,ECON,302,36,36,64,27,35,63,26,20,29,14,14,12,26,2,"DiIanni, Isaac"
2014,Fall,ECON,302,37,30,55,62,42,68,38,33,30,16,16,14,27,6,"Buckley, Bryan D"
2014,Fall,ECON,303,2,8,10,16,9,4,3,0,1,0,1,0,1,0,"Feng, Zhigang"
2014,Fall,ECON,303,4,19,7,11,17,12,5,8,4,1,2,4,1,1,"Zhao, Rui"
2014,Fall,ECON,303,6,16,13,11,27,8,13,8,5,4,3,1,2,2,"Arvin-Rad, Hassan"
2014,Fall,ECON,411,3,9,7,7,5,0,0,2,0,0,0,0,0,0,"Giertz, J F"
2014,Fall,ECON,490,2,5,3,2,4,0,1,3,2,2,1,0,0,1,"Fung, Juan F"
2014,Fall,ECON,490,5,8,2,3,6,5,0,2,0,0,0,0,0,0,"Williams, Steven R"
2014,Fall,ECON,490,0,10,1,3,6,0,0,2,0,0,0,0,1,0,"Arvan, Lanny"
2014,Fall,ECON,490,0,12,2,4,4,2,1,0,0,0,0,0,0,0,"Shafer, Rachel C"
2014,Fall,ECON,490,9,5,6,1,3,1,0,1,0,0,1,0,0,0,"DiIanni, Isaac"
2014,Fall,ECON,490,4,1,4,4,2,2,2,0,2,1,0,0,1,0,"Baerlocher Carv, Diogo"
2014,Fall,ECON,500,2,15,16,10,13,9,0,0,0,0,0,0,0,0,"Krasa, Stefan"
2014,Fall,ECON,506,4,8,13,12,15,10,1,0,0,0,0,0,0,0,"Toossi, Ali"
2014,Fall,EDUC,101,0,134,0,0,7,0,0,1,0,0,0,0,1,0,"Cross, Joseph L"
2014,Fall,ENG,198,0,21,3,7,1,0,0,0,0,0,0,0,0,0,"Conner-Gaten, Lashea A"
2014,Fall,ENG,198,17,6,1,3,0,0,0,0,1,0,1,0,2,0,"Mena, Irene B"
2014,Fall,ENG,198,4,16,5,1,0,0,0,0,0,0,0,0,0,0,"Viswanathan, Madhubalan"
2014,Fall,ENG,198,0,26,1,0,0,1,0,0,0,0,0,0,0,0,"Larson, Susan M"
2014,Fall,ENG,198,50,100,31,6,3,0,1,3,3,0,0,0,0,0,"Bradley, Joe A"
2014,Fall,ENG,199,12,23,0,0,9,0,0,2,0,0,0,0,0,0,"Waranyuwat, Kulapan J"
2014,Fall,ENG,199,0,18,0,0,4,0,0,1,0,0,0,0,0,0,"Larson, Susan M"
2014,Fall,ENGL,101,1,1,8,3,4,1,0,3,0,0,0,0,0,0,"Labella, John B"
2014,Fall,ENGL,104,1,5,3,4,5,3,1,2,0,0,0,0,1,1,"Slobodnik, Sydney J"
2014,Fall,ENGL,104,0,8,7,2,6,4,1,0,0,0,1,0,1,0,"Larabee, Melissa K"
2014,Fall,ENGL,104,2,5,7,3,1,6,2,0,0,0,0,0,0,0,"Camargo, Sandra"
2014,Fall,ENGL,104,1,4,9,5,7,0,0,2,1,0,0,0,0,0,"Claborn, John P"
2014,Fall,ENGL,104,11,6,2,3,4,0,0,3,0,0,0,0,2,0,"Condis, Megan A"
2014,Fall,ENGL,109,0,10,5,1,5,1,0,1,0,0,0,0,0,0,"Hall, Andrew M"
2014,Fall,ENGL,109,0,2,9,5,1,4,0,0,1,0,1,0,0,0,"Chandler, Erin D"
2014,Fall,ENGL,109,1,7,9,4,0,0,0,0,0,0,0,0,0,0,"Cassinelli, Sarah M"
2014,Fall,ENGL,109,0,9,7,1,3,1,0,0,0,0,0,0,0,1,"Dullea, Dennis E"
2014,Fall,ENGL,116,7,9,5,3,2,2,0,0,0,1,0,0,0,0,"Lynch, Joshua D"
2014,Fall,ENGL,200,0,7,12,14,1,1,0,1,0,0,0,0,0,0,"Truran, Wendy J"
2014,Fall,ENGL,200,1,8,7,8,4,2,1,1,2,0,0,0,1,0,"Simon, Kaia L"
2014,Fall,ENGL,200,0,15,7,7,2,1,0,1,1,0,0,0,0,0,"Melko, Erica M"
2014,Fall,ENGL,245,0,4,8,9,3,3,0,0,0,0,0,0,1,0,"McLeer, Heather A"
2014,Fall,ENGL,301,0,7,7,5,3,1,4,0,0,0,0,0,1,0,"Basu, Manisha"
2014,Fall,EPS,201,7,6,6,3,1,1,0,0,0,0,0,0,0,0,"Harris, Tiffany O"
2014,Fall,EPSY,220,12,4,0,1,2,0,0,1,0,0,0,0,1,0,"Wang, Michael"
2014,Fall,EPSY,220,19,0,11,7,7,0,0,3,0,0,1,0,1,0,"Xu, Shengmei"
2014,Fall,ESE,200,0,21,11,16,33,7,7,9,1,1,2,2,0,2,"Tomkin, Jonathan H"
2014,Fall,FIN,221,9,45,7,7,17,2,5,6,2,2,2,0,3,1,"Singh, Pranav P"
2014,Fall,FIN,221,2,26,5,4,11,4,3,3,1,0,5,0,3,2,"Kim, Hyun"
2014,Fall,FIN,221,4,41,12,5,22,8,2,8,5,4,4,0,1,1,"Lagaras, Spyridon"
2014,Fall,FIN,221,7,45,8,8,12,4,6,11,3,1,3,0,2,0,"Amiri Moghadam, Sadra"
2014,Fall,FIN,241,1,11,7,5,6,3,1,1,0,0,0,0,0,0,"Perkins, Scott E"
2014,Fall,FIN,300,3,0,0,3,4,2,3,5,2,1,0,0,5,1,"Spencer, Xiangyi X"
2014,Fall,FIN,300,2,4,2,5,5,4,5,2,1,1,0,0,2,0,"Oltheten, Elisabeth"
2014,Fall,FIN,300,1,4,7,7,9,5,12,10,5,3,3,0,0,1,"Smith, Mark K"
2014,Fall,FIN,300,0,0,4,2,9,7,7,6,6,4,4,0,10,2,"Waspi, Kevin G"
2014,Fall,FIN,321,4,30,9,10,17,8,4,7,1,0,0,0,0,0,"Huang, Jiekun"
2014,Fall,FIN,321,0,8,6,8,9,9,0,8,0,0,0,0,1,0,"Peters, Stephen R"
2014,Fall,FIN,423,0,14,18,10,5,0,1,0,0,0,0,0,0,0,"Krueger, George J"
2014,Fall,FIN,463,1,17,12,15,11,3,1,0,0,0,0,0,0,0,"Goodfriend, Jaimi E"
2014,Fall,FIN,501,0,12,18,20,9,0,0,0,0,0,0,0,0,0,"Miller, Nolan H"
2014,Fall,FIN,511,0,30,48,47,22,2,0,0,0,0,0,0,0,0,"Pollet, Joshua M"
2014,Fall,FIN,512,7,45,24,13,14,7,0,0,0,0,0,0,0,0,"Widdicks, Martin"
2014,Fall,FIN,521,1,46,10,20,23,8,2,0,0,0,0,0,0,0,"Weisbenner, Scott J"
2014,Fall,FIN,521,5,10,11,5,4,2,0,0,0,0,0,0,0,0,"Fos, Vyacheslav"
2014,Fall,FIN,580,4,34,1,1,0,0,0,0,0,0,0,0,0,0,"Cannaday, Roger E"
2014,Fall,FIN,580,2,12,12,6,1,0,0,0,0,0,0,0,0,0,"Clark-Joseph, Adam D"
2014,Fall,FR,101,2,5,4,1,5,1,1,2,0,0,0,0,0,1,"Prieu, Charlotte C"
2014,Fall,FR,101,1,7,7,0,2,1,2,2,0,1,0,0,0,0,"Taddei, Fara"
2014,Fall,FR,101,2,7,1,1,4,0,4,1,0,1,0,0,0,0,"Curran, Sean M"
2014,Fall,FR,103,1,3,6,3,1,4,0,4,2,0,0,0,0,0,"Namjoshi, Jui"
2014,Fall,FR,103,0,1,2,5,3,3,2,1,1,2,2,1,0,0,"Guillaud-Marlie, Anne-Ben"
2014,Fall,FR,103,3,11,11,4,9,3,0,1,0,0,0,1,0,0,"Strole, Nicholas A"
2014,Fall,FSHN,101,17,33,4,23,11,2,8,4,1,1,1,1,3,0,"Schmidt, Shelly J"
2014,Fall,FSHN,595,12,11,3,3,2,0,1,0,0,0,0,0,0,0,"Barth, Mary M"
2014,Fall,GEOG,101,6,11,12,10,5,5,1,1,1,0,0,1,0,0,"Heil, Melissa"
2014,Fall,GEOG,101,11,6,3,0,3,3,1,0,0,0,0,0,0,0,"Wong, Sandy"
2014,Fall,GEOG,101,5,2,7,5,4,4,0,1,1,0,0,0,0,0,"Pavlovic, Nathan"
2014,Fall,GER,101,2,11,11,3,6,7,1,2,1,0,0,0,1,0,"Uzun, Ugur"
2014,Fall,GER,101,8,10,2,2,0,1,0,0,0,0,0,0,0,0,"Berkovich, Nadezda"
2014,Fall,GER,251,3,18,14,5,2,1,1,0,0,0,0,0,0,0,"Chung, Stephanie A"
2014,Fall,GLBL,100,21,18,4,1,2,1,1,0,0,0,0,0,5,0,"Gresh, Rebecca A"
2014,Fall,GLBL,100,0,14,7,4,1,0,1,0,0,0,0,1,0,0,"Kohli, Tanu"
2014,Fall,GLBL,296,0,17,0,1,3,0,0,1,0,0,0,0,0,0,"Grim-Feinberg, Kate"
2014,Fall,GLBL,296,4,8,3,4,2,1,0,0,0,0,0,0,0,0,"Schrag, David M"
2014,Fall,GS,101,0,57,11,4,3,2,0,1,1,0,0,0,0,0,"Watson, Sarah D"
2014,Fall,GS,101,20,31,0,0,3,1,0,1,0,0,0,1,0,0,"Heinold, Jennifer"
2014,Fall,GS,101,14,26,8,4,5,2,2,4,2,0,1,0,1,0,"Herrera, Holly N"
2014,Fall,GS,101,49,8,6,4,4,2,1,2,0,1,0,2,1,0,"Jamal, Malcolm A"
2014,Fall,GS,101,38,27,8,2,0,0,0,0,0,0,0,1,1,0,"Heintz, Hollie"
2014,Fall,GS,101,36,23,2,5,0,0,0,0,0,0,0,0,0,0,"McMillion, Desiree Y"
2014,Fall,GS,101,0,65,2,6,2,2,2,0,1,0,0,0,0,0,"Surratt, Aaron T"
2014,Fall,GS,101,0,41,6,10,5,4,4,7,0,0,0,0,1,1,"Myers, Michael D"
2014,Fall,GS,101,31,23,11,5,5,3,6,3,2,0,2,1,5,0,"Kotowski, Jennifer"
2014,Fall,GS,101,16,30,10,5,7,3,3,2,0,0,0,1,1,1,"Rodriguez, Saturnino H"
2014,Fall,GS,101,5,53,1,1,2,0,0,0,0,1,0,0,1,0,"Tomasiewicz, Ryan"
2014,Fall,GS,101,29,21,11,3,2,1,1,1,1,0,0,0,1,0,"Marshall, Tiara L"
2014,Fall,GS,101,0,53,6,3,2,1,2,1,1,0,1,1,1,0,"Turner, Daniel J"
2014,Fall,GS,101,13,16,6,2,0,1,1,0,0,0,0,0,0,0,"Schneider, Lauren N"
2014,Fall,GS,101,0,48,8,4,4,2,1,1,2,1,2,3,0,0,"Kaste, Kaitlin M"
2014,Fall,GWS,100,0,18,22,9,16,5,4,5,5,1,2,2,0,0,"Diaz-Kozlowski, Tanya"
2014,Fall,HDFS,105,19,37,14,10,4,4,3,3,0,0,0,0,0,0,"Izenstark, Dina M"
2014,Fall,HIST,100,0,0,5,5,4,5,4,8,4,5,1,0,2,0,"Navalesi, Kent E"
2014,Fall,HIST,100,0,13,12,10,12,8,5,3,1,2,0,1,0,0,"Quick, Elizabeth P"
2014,Fall,HIST,100,1,5,7,7,6,7,6,1,2,0,0,0,1,0,"Murphy, Evan R"
2014,Fall,HIST,120,0,4,1,1,2,1,0,5,3,0,2,0,4,0,"McSweeney, Forrest C"
2014,Fall,HIST,172,1,0,5,5,3,5,1,0,0,0,0,1,0,0,"Correa Kuyumjia, Marilia"
2014,Fall,HIST,172,1,14,25,11,6,4,1,1,0,0,0,0,0,0,"Khan, Tariq"
2014,Fall,HIST,258,2,11,1,1,3,1,0,2,0,0,0,0,4,0,"Harris, David I"
2014,Fall,HORT,105,66,38,14,10,17,8,7,4,1,0,3,0,2,0,"Masiunas, John B"
2014,Fall,HORT,107,0,35,24,15,11,1,0,0,0,0,0,0,0,0,"Noland, Dianne A"
2014,Fall,IB,100,0,135,0,0,66,0,0,27,0,0,12,0,25,2,"Dole, Robert E"
2014,Fall,IB,105,9,63,71,45,46,16,9,18,9,1,12,4,17,0,"Morgan, Beth A"
2014,Fall,IB,150,18,38,9,6,15,4,3,8,0,0,0,1,3,0,"Clegg, Benjamin F"
2014,Fall,IB,360,6,126,0,0,98,0,0,26,0,0,4,0,2,6,"Sears, Karen"
2014,Fall,IE,300,4,1,3,1,3,3,4,13,10,9,8,2,14,4,"Tursun, Umit D"
2014,Fall,IE,300,5,12,6,11,19,5,9,13,5,0,3,3,5,1,"King, Douglas M"
2014,Fall,IS,501,0,35,1,0,1,0,0,0,0,0,0,0,0,0,"Smith, Linda C"
2014,Fall,JOUR,200,20,53,59,42,40,42,11,9,2,3,5,1,5,2,"Follis, Jennifer E"
2014,Fall,KIN,100,28,14,5,1,1,0,0,2,0,0,0,0,0,0,"McGrew, Robert W"
2014,Fall,KIN,100,0,16,2,2,1,0,0,1,0,0,0,1,1,0,"Isaacs, Zadok J"
2014,Fall,KIN,100,2,17,0,0,1,0,0,1,0,0,1,0,2,0,"Chizewski, Ann M"
2014,Fall,KIN,101,4,12,8,7,7,3,0,0,0,0,0,0,5,1,"Ousley, Cherita M"
2014,Fall,KIN,104,0,327,0,0,48,0,0,15,0,0,2,0,5,4,"Clarke, Caitlin L"
2014,Fall,KIN,109,12,3,4,3,0,4,0,1,0,0,1,0,1,0,"West, Mason J"
2014,Fall,KIN,109,0,22,2,1,3,0,0,0,0,0,0,0,0,0,"Trendowski, Thomas N"
2014,Fall,KIN,122,64,44,49,5,8,6,1,2,1,2,0,0,0,0,"Sandroff, Brian M"
2014,Fall,KIN,122,20,40,20,18,14,8,4,5,4,0,1,0,0,0,"Kaplan, Justine"
2014,Fall,KIN,130,8,30,19,11,5,1,2,0,2,0,0,0,0,0,"Kern, Benjamin D"
2014,Fall,KIN,247,0,32,0,0,32,0,0,14,0,0,4,0,2,0,"Fanning, Jason T"
2014,Fall,LAS,101,444,444,144,66,95,31,15,27,12,6,11,7,23,3,"Hoffman, Ruth A"
2014,Fall,LAST,170,30,11,2,5,2,0,0,2,0,0,0,1,1,1,"Pena Iguavita, Cesar A"
2014,Fall,LAST,170,23,13,3,4,5,1,4,0,0,2,1,1,1,0,"McKenna, Erin F"
2014,Fall,LAST,170,32,12,3,3,3,2,1,1,0,0,0,0,0,1,"Chinchilla, Laura E"
2014,Fall,LAW,601,2,6,8,14,15,4,2,1,0,0,0,0,0,0,"Kar, Robin B"
2014,Fall,LAW,601,2,4,9,10,14,8,3,0,0,2,0,0,0,0,"Tabb, Charles J"
2014,Fall,LAW,602,2,15,6,37,32,4,2,6,0,0,1,0,0,0,"Reynolds, Laura A"
2014,Fall,LAW,607,0,8,10,17,7,0,4,4,2,0,0,0,0,0,"Kordik, Ellen R"
2014,Fall,LAW,607,3,7,11,47,30,7,0,0,0,0,0,0,0,0,"Winship, Verity"
2014,Fall,LAW,609,2,3,6,6,3,4,2,1,0,0,0,0,0,0,"Pea, Janice F"
2014,Fall,LAW,609,1,4,3,5,8,3,1,0,1,0,0,0,0,0,"Benson, Sara R"
2014,Fall,LAW,609,2,3,5,4,7,3,2,0,0,0,0,0,0,0,"Moritz, Shannon M"
2014,Fall,LAW,609,2,3,3,5,8,3,1,0,1,0,0,0,0,0,"Alam, Rummana"
2014,Fall,LAW,609,1,4,2,7,5,2,3,0,1,0,0,0,0,0,"Anderson, Sean M"
2014,Fall,LAW,633,1,8,63,78,20,4,3,0,0,0,1,0,0,0,"Aviram, Amitai"
2014,Fall,LAW,653,0,9,12,20,10,4,3,0,0,0,0,0,0,1,"Heald, Paul J"
2014,Fall,LAW,792,0,4,6,13,9,0,0,0,0,0,0,0,0,0,"Healey, Paul D"
2014,Fall,LAW,792,0,4,8,4,2,1,0,1,1,0,0,0,0,0,"Etienne, Margareth"
2014,Fall,LAW,793,1,7,8,4,0,1,0,0,0,0,0,0,0,0,"Bilz, Kenworthey"
2014,Fall,LAW,793,0,12,3,2,5,0,0,0,0,0,0,0,0,0,"Geiler, Lorna K"
2014,Fall,LER,100,0,4,3,1,3,4,2,4,0,1,0,1,2,0,"Arnold, Dexter P"
2014,Fall,LER,100,0,2,3,2,3,5,1,1,0,0,3,1,5,1,"Mauer, Michael P"
2014,Fall,LER,100,0,5,4,2,5,1,1,0,0,0,0,0,6,0,"Fauke, Clare A"
2014,Fall,LER,100,0,3,2,8,10,0,0,2,0,0,1,1,4,0,"Hertenstein, Edward"
2014,Fall,LER,100,1,6,14,2,12,9,2,4,4,2,2,1,15,2,"Ashby, Steven"
2014,Fall,LER,100,0,16,8,2,4,4,2,1,1,2,1,0,12,2,"Hawking, Carol J"
2014,Fall,LER,100,1,5,3,1,2,1,1,2,1,1,1,0,7,0,"Sitler, Donna L"
2014,Fall,LER,100,0,3,2,2,5,1,1,4,1,1,1,1,4,0,"Franklin, Stephen"
2014,Fall,LER,100,0,4,5,1,3,1,0,2,3,0,2,3,3,0,"Stewart, Beverly L"
2014,Fall,LER,100,1,6,3,3,7,1,0,1,1,1,2,0,3,0,"Konopacki, Mike"
2014,Fall,LER,110,2,13,10,4,7,2,4,9,2,1,1,0,3,0,"Schiavone, Michael"
2014,Fall,LER,110,1,6,5,1,5,1,0,1,0,2,1,2,2,0,"Michael, David A"
2014,Fall,LER,110,1,10,2,3,2,2,0,1,0,1,4,0,0,0,"Gilbert, Daniel"
2014,Fall,LER,120,0,5,2,2,4,0,0,3,1,0,1,1,4,0,"King, Judith L"
2014,Fall,LER,120,1,11,2,1,5,0,0,2,1,0,0,0,6,1,"Taylor, Don"
2014,Fall,LER,120,1,8,5,0,0,1,0,1,0,0,2,0,8,0,"Bybee, Roger"
2014,Fall,LER,120,0,11,1,0,4,1,1,2,0,0,2,0,5,0,"Cohen, Margaret L"
2014,Fall,LER,590,4,7,7,12,8,0,0,0,0,0,0,0,0,0,"Nowak, Radoslaw"
2014,Fall,LER,590,0,3,2,2,32,3,0,0,0,0,0,0,0,0,"Olson, Craig A"
2014,Fall,LER,591,0,24,34,11,2,2,0,0,0,0,0,0,0,1,"Cardador, Maria T"
2014,Fall,LER,593,27,12,6,10,6,1,1,1,0,0,0,0,0,1,"Newman, Daniel A"
2014,Fall,LING,100,14,32,28,12,7,10,1,4,0,1,0,0,1,0,"Cole, Jennifer S"
2014,Fall,LLS,100,0,16,11,12,8,3,4,2,0,0,0,0,0,0,"Coronel, Eduardo"
2014,Fall,MACS,101,5,4,1,0,3,4,4,0,0,0,0,0,0,0,"Wilson, Kerry B"
2014,Fall,MACS,101,7,11,10,5,5,1,1,4,2,0,1,0,0,0,"Jiao, Yang"
2014,Fall,MACS,101,4,10,9,14,6,1,1,0,0,0,0,0,1,0,"Ruehlicke, Andrea"
2014,Fall,MATH,12,6,2,6,8,16,14,18,7,3,5,4,5,16,1,"Reddy, Alison"
2014,Fall,MATH,103,2,48,2,3,39,0,5,8,0,1,2,0,1,1,"Hoffmeister, April M"
2014,Fall,MATH,115,17,23,24,34,36,40,29,27,21,22,14,9,22,4,"McNeilly, Jennifer R"
2014,Fall,MATH,124,9,8,7,11,5,2,3,3,1,1,0,0,0,0,"Hasler, Jordan J"
2014,Fall,MATH,124,4,2,2,2,8,1,4,1,0,0,0,0,0,0,"Wang, Han"
2014,Fall,MATH,124,2,2,4,4,1,7,1,3,0,0,0,1,1,0,"Reddy, Alison"
2014,Fall,MATH,125,10,34,58,74,98,59,48,18,17,2,8,1,1,4,"Folwaczny, Lena C"
2014,Fall,MATH,125,2,8,20,28,28,35,33,20,11,4,5,2,1,0,"Muncaster, Robert G"
2014,Fall,MATH,213,2,3,10,3,9,2,3,5,8,2,2,3,5,0,"Kim, Sun"
2014,Fall,MATH,220,2,2,5,3,2,1,4,2,2,1,1,0,0,0,"Andersen, Nickolas R"
2014,Fall,MATH,220,44,76,19,24,92,25,32,73,16,14,44,12,64,12,"Murphy, Robert F"
2014,Fall,MATH,221,12,19,20,21,14,21,14,18,5,14,8,7,25,2,"McCarthy, Randy"
2014,Fall,MATH,221,29,65,65,74,64,49,35,16,17,10,4,12,10,6,"Validashti, Javid"
2014,Fall,MATH,221,13,19,36,21,29,28,14,28,12,6,15,2,15,2,"Watts, Jordan A"
2014,Fall,MATH,225,7,7,15,8,9,7,7,6,2,0,2,3,1,1,"Kirr, Eduard-Wilhelm"
2014,Fall,MATH,225,8,21,17,11,26,18,7,30,16,0,17,0,6,3,"Bradlow, Steven B"
2014,Fall,MATH,231,33,40,36,41,35,44,52,26,23,14,13,11,28,11,"Whittlesey, Kim"
2014,Fall,MATH,231,12,26,41,44,36,27,32,20,13,7,3,1,2,1,"Bronski, Jared C"
2014,Fall,MATH,231,11,40,40,41,26,34,31,25,23,5,2,5,7,1,"Albin, Pierre"
2014,Fall,MATH,241,4,20,7,7,5,8,5,5,2,0,1,0,2,0,"Mueller, Stefan"
2014,Fall,MATH,241,1,7,2,4,4,2,2,1,3,1,0,1,10,0,"Carpenter, Bruce"
2014,Fall,MATH,241,17,37,66,65,79,58,48,47,31,22,20,12,17,0,"Leininger, Christopher J"
2014,Fall,MATH,241,16,52,67,60,55,58,51,59,30,18,17,9,17,5,"Cellarosi, Francesco"
2014,Fall,MATH,241,9,14,5,12,4,5,1,1,2,0,1,0,0,1,"Oikhberg, Timur"
2014,Fall,MATH,241,21,55,60,60,64,67,51,43,25,23,9,11,11,1,"Tolman, Susan"
2014,Fall,MATH,241,1,6,7,5,3,0,0,2,2,0,2,0,2,0,"Kydonakis, Georgios"
2014,Fall,MATH,285,8,81,9,18,35,16,6,11,5,6,2,5,6,1,"Manfroi, Aldo J"
2014,Fall,MATH,285,8,14,7,9,8,10,9,6,12,0,3,1,1,3,"Haboush, William J"
2014,Fall,MATH,285,18,8,3,10,3,5,1,3,3,0,0,5,0,0,"Baryshnikov, Juliy"
2014,Fall,MATH,285,0,36,24,17,15,9,8,6,7,4,4,1,7,0,"Pascaleff, James"
2014,Fall,MATH,285,16,30,7,19,30,18,4,4,3,3,3,0,5,3,"Agbanusi, Ikemefuna C"
2014,Fall,MATH,286,22,9,6,10,6,6,8,0,1,0,1,0,0,0,"Kavruk, Ali S"
2014,Fall,MATH,286,5,19,16,6,7,4,3,1,3,0,3,0,0,0,"Udrea, Bogdan T"
2014,Fall,MATH,286,8,46,11,18,14,4,10,11,1,0,7,0,7,0,"Tao, Lizheng"
2014,Fall,MATH,299,11,40,40,41,25,34,31,25,23,5,2,5,7,1,"Albin, Pierre"
2014,Fall,MATH,347,0,5,2,1,3,2,2,3,0,0,0,0,4,1,"Miller, Alexander R"
2014,Fall,MATH,347,1,3,5,3,4,3,2,2,1,0,0,1,1,0,"Samart, Detchat"
2014,Fall,MATH,347,2,3,2,2,3,3,3,2,2,1,1,0,2,0,"Duursma, Iwan M"
2014,Fall,MATH,402,0,12,12,10,8,6,4,4,2,0,1,0,0,0,"Sapir, Jenya M"
2014,Fall,MATH,413,10,9,9,3,6,5,4,6,2,4,0,3,2,1,"Yong, Alexander N"
2014,Fall,MATH,415,21,67,48,65,72,41,20,17,10,18,2,0,8,3,"Hieronymi, Philipp C"
2014,Fall,MATH,415,68,64,69,54,47,25,12,19,9,10,3,0,2,2,"Straub, Armin"
2014,Fall,MATH,441,1,7,7,3,7,9,3,0,1,2,5,3,6,2,"Xu, Samantha"
2014,Fall,MATH,441,0,5,3,2,5,1,1,2,1,0,2,0,4,0,"Hur, Mi Kyoung"
2014,Fall,MATH,444,2,5,2,4,1,4,2,4,1,1,0,0,1,0,"Tserunyan, Anush"
2014,Fall,MATH,446,2,13,9,5,12,1,9,2,3,0,2,1,3,1,"Gultepe, Funda"
2014,Fall,MATH,447,1,4,3,6,5,1,0,1,1,1,0,0,0,1,"Solecki, Slawomir"
2014,Fall,MATH,453,6,18,2,5,1,0,0,0,0,0,0,0,0,0,"Zaharescu, Alexandru"
2014,Fall,MATH,461,0,1,7,2,4,3,5,2,2,0,1,0,3,3,"Vondracek, Zoran"
2014,Fall,MATH,461,2,4,2,2,2,5,0,5,2,2,2,1,1,2,"Di Francesco, Philippe"
2014,Fall,MATH,461,2,5,3,4,4,5,2,3,1,0,1,0,1,0,"Lierl, Janna U"
2014,Fall,MATH,461,6,7,9,4,5,4,6,4,6,1,4,0,2,1,"Dey, Partha S"
2014,Fall,MATH,471,3,37,7,8,30,8,6,19,4,2,8,2,8,0,"Johnson, Paul H"
2014,Fall,MATH,476,8,15,12,15,8,10,3,2,6,0,5,4,0,0,"Feng, Runhuan"
2014,Fall,MBA,501,0,12,21,26,22,0,0,0,0,0,0,0,0,0,"Northcraft, Gregory B"
2014,Fall,MBA,501,4,16,18,26,13,2,2,0,0,0,0,0,0,0,"Trotman, Kenneth T"
2014,Fall,MBA,501,1,15,21,17,21,5,1,0,0,0,0,0,0,0,"Brown, Jeffrey R"
2014,Fall,MBA,501,10,20,20,13,8,9,0,1,0,0,0,0,0,0,"Kwon, Hyok-Jon D"
2014,Fall,MBA,502,3,24,23,16,11,5,0,0,0,0,0,0,0,0,"Anand, Gopesh J"
2014,Fall,MBA,502,1,10,10,18,32,5,1,3,1,0,1,0,0,0,"Rybka, Kathryn M"
2014,Fall,MBA,502,3,28,11,12,23,5,0,0,0,0,0,0,0,0,"Kraatz, Matthew S"
2014,Fall,MBA,502,7,27,30,15,3,0,0,0,0,0,0,0,0,0,"Sandretto, Michael J"
2014,Fall,MCB,150,9,22,32,33,28,35,26,22,14,11,5,2,3,1,"Reedy, Melissa M"
2014,Fall,MCB,199,31,6,2,1,3,0,0,0,0,0,0,0,0,1,"Reedy, Melissa M"
2014,Fall,MCB,245,6,18,33,55,54,100,65,50,48,34,15,14,33,3,"Swigart, James P"
2014,Fall,MCB,250,10,11,13,21,16,21,8,12,5,5,5,1,2,0,"Kirchner, Nicholas C"
2014,Fall,MCB,251,53,82,44,25,6,2,4,1,1,1,0,0,1,0,"Kirchner, Nicholas C"
2014,Fall,MCB,252,4,4,16,6,17,14,12,8,3,3,2,1,1,0,"Good, Elizabeth A"
2014,Fall,MCB,253,12,35,22,24,5,6,5,1,0,1,0,0,1,0,"Good, Elizabeth A"
2014,Fall,MCB,301,0,19,31,29,50,15,11,6,1,0,0,0,0,0,"Alt, Renee L"
